TEAM,CONF,W-L,BPI,BPI RK,TREND,OFF,DEF,OVR W-L,CONF W-L,WIN CONF%,REM SOS RK
"
Duke Blue Devils",ACC,31-3,24.8,1,--,13.6,11.1,31.0-3.0,19.0-1.0,>99.9%,-
"
Houston Cougars",Big 12,30-4,23.8,2,--,10.7,13.1,31.0-4.0,19.0-1.0,>99.9%,113th
"
Auburn Tigers",SEC,28-5,22.3,3,--,12.9,9.4,28.0-5.0,15.0-3.0,>99.9%,-
"
Florida Gators",SEC,30-4,20.1,4,--,11.6,8.6,31.0-4.0,14.0-4.0,<0.1%,97th
"
Tennessee Volunteers",SEC,27-7,19.4,5,1,8.8,10.5,28.0-7.0,12.0-6.0,<0.1%,91st
"
Alabama Crimson Tide",SEC,25-8,19.2,6,1,12.3,6.9,26.0-8.0,13.0-5.0,<0.1%,95th
"
Iowa State Cyclones",Big 12,24-9,18.7,7,--,8.2,10.5,24.9-9.1,13.0-7.0,<0.1%,79th
"
Texas Tech Red Raiders",Big 12,25-8,18.2,8,--,11.1,7.1,25.9-8.1,15.0-5.0,<0.1%,81st
"
Arizona Wildcats",Big 12,22-12,18.2,9,--,10.3,7.9,22.9-12.1,14.0-6.0,<0.1%,82nd
"
Gonzaga Bulldogs",WCC,25-8,17.9,10,--,10.8,7.1,25.7-8.3,14.0-4.0,<0.1%,34th
"
Michigan State Spartans",Big Ten,27-6,17.3,11,--,7.1,10.3,27.9-6.1,17.0-3.0,>99.9%,90th
"
St. John's Red Storm",Big East,30-4,17.1,12,4,5.6,11.5,31.0-4.0,18.0-2.0,>99.9%,106th
"
Maryland Terrapins",Big Ten,25-8,16.9,13,1,6.8,10.1,25.9-8.1,14.0-6.0,<0.1%,74th
"
Kansas Jayhawks",Big 12,21-12,16.9,14,2,7.5,9.4,21.7-12.3,11.0-9.0,<0.1%,38th
"
Clemson Tigers",ACC,27-6,16.4,15,--,8.2,8.2,27.8-6.2,18.0-2.0,<0.1%,62nd
"
UConn Huskies",Big East,23-10,16.4,16,1,10.6,5.8,23.7-10.3,14.0-6.0,<0.1%,40th
"
Kentucky Wildcats",SEC,22-11,16.1,17,4,10.4,5.7,22.9-11.1,10.0-8.0,<0.1%,80th
"
Wisconsin Badgers",Big Ten,26-9,16.0,18,5,9.0,6.9,26.9-9.1,13.0-7.0,<0.1%,98th
"
Baylor Bears",Big 12,19-14,15.9,19,3,10.0,5.9,19.6-14.4,10.0-10.0,<0.1%,33rd
"
Marquette Golden Eagles",Big East,23-10,15.8,20,1,7.6,8.2,23.7-10.3,13.0-7.0,<0.1%,46th
"
Purdue Boilermakers",Big Ten,22-11,15.7,21,3,10.4,5.3,22.8-11.2,13.0-7.0,<0.1%,69th
"
Texas A&M Aggies",SEC,22-10,15.6,22,2,6.6,9.0,22.8-10.2,11.0-7.0,<0.1%,64th
"
Illinois Fighting Illini",Big Ten,21-12,15.3,23,2,9.0,6.3,21.0-12.0,12.0-8.0,<0.1%,-
"
BYU Cougars",Big 12,24-9,15.1,24,--,9.3,5.8,24.6-9.4,14.0-6.0,<0.1%,30th
"
North Carolina Tar Heels",ACC,22-13,14.8,25,3,8.7,6.1,22.7-13.3,13.0-7.0,<0.1%,49th
"
Creighton Bluejays",Big East,24-10,14.6,26,1,7.8,6.9,24.5-10.5,15.0-5.0,<0.1%,26th
"
UCLA Bruins",Big Ten,22-10,14.4,27,1,6.5,8.0,22.6-10.4,13.0-7.0,<0.1%,39th
"
Louisville Cardinals",ACC,27-7,14.0,28,1,6.6,7.4,27.5-7.5,18.0-2.0,<0.1%,23rd
"
Michigan Wolverines",Big Ten,25-9,13.7,29,4,6.2,7.6,25.7-9.3,14.0-6.0,<0.1%,53rd
"
Saint Mary's Gaels",WCC,28-5,13.7,30,1,5.1,8.6,28.7-5.3,17.0-1.0,>99.9%,52nd
"
Missouri Tigers",SEC,22-11,13.7,31,1,9.6,4.1,22.7-11.3,10.0-8.0,<0.1%,65th
"
Ole Miss Rebels",SEC,22-11,13.6,32,1,7.1,6.5,22.0-11.0,10.0-8.0,<0.1%,-
"
Texas Longhorns",SEC,19-15,13.4,33,3,7.6,5.7,19.5-15.5,6.0-12.0,<0.1%,35th
"
VCU Rams",A-10,28-6,13.3,34,2,5.5,7.8,28.4-6.6,15.0-3.0,>99.9%,21st
"
Mississippi State Bulldogs",SEC,21-12,13.2,35,2,7.3,5.9,21.4-12.6,8.0-10.0,<0.1%,17th
"
Oregon Ducks",Big Ten,24-9,13.2,36,2,6.4,6.8,24.8-9.2,12.0-8.0,<0.1%,72nd
"
Georgia Bulldogs",SEC,20-12,12.5,38,--,5.4,7.1,20.3-12.7,8.0-10.0,<0.1%,8th
"
Xavier Musketeers",Big East,21-11,12.5,39,--,6.5,6.0,21.5-11.5,13.0-7.0,<0.1%,31st
"
Arkansas Razorbacks",SEC,20-13,11.7,42,1,4.4,7.3,20.3-13.7,8.0-10.0,<0.1%,11th
"
Oklahoma Sooners",SEC,20-13,11.5,43,2,7.1,4.4,20.3-13.7,6.0-12.0,<0.1%,14th
"
Utah State Aggies",Mountain West,26-7,11.5,44,--,8.9,2.6,26.4-7.6,15.0-5.0,<0.1%,25th
"
Memphis Tigers",American,29-5,11.3,46,4,4.9,6.4,29.5-5.5,16.0-2.0,>99.9%,48th
"
New Mexico Lobos",Mountain West,26-7,10.8,49,2,3.8,7.1,26.3-7.7,17.0-3.0,>99.9%,18th
"
Colorado State Rams",Mountain West,25-9,10.5,53,3,5.2,5.3,25.5-9.5,16.0-4.0,<0.1%,41st
"
San Diego State Aztecs",Mountain West,21-9,10.5,54,3,1.9,8.6,21.3-9.7,14.0-6.0,<0.1%,22nd
"
Vanderbilt Commodores",SEC,20-12,10.0,56,2,6.3,3.6,20.3-12.7,8.0-10.0,<0.1%,27th
"
UC San Diego Tritons",Big West,30-4,9.6,57,2,4.5,5.1,30.3-4.7,18.0-2.0,>99.9%,28th
"
McNeese Cowboys",Southland,27-6,8.3,66,--,4.7,3.7,27.2-6.8,19.0-1.0,>99.9%,13th
"
Yale Bulldogs",Ivy,22-7,8.1,68,4,5.2,2.9,22.2-7.8,13.0-1.0,>99.9%,20th
"
Drake Bulldogs",MVC,30-3,7.6,73,--,2.6,5.0,30.3-3.7,17.0-3.0,>99.9%,29th
"
High Point Panthers",Big South,29-5,6.8,81,--,7.2,-0.3,29.2-5.8,14.0-2.0,>99.9%,19th
"
Liberty Flames",CUSA,28-6,6.4,85,--,2.3,4.1,28.2-6.8,13.0-5.0,>99.9%,32nd
"
Grand Canyon Lopes",WAC,26-7,6.2,87,5,1.2,5.0,26.1-7.9,13.0-3.0,<0.1%,12th
"
Lipscomb Bisons",ASUN,25-9,3.8,106,2,2.4,1.4,25.1-9.9,14.0-4.0,>99.9%,5th
"
Troy Trojans",Sun Belt,23-10,3.6,109,1,-0.2,3.9,23.1-10.9,13.0-5.0,>99.9%,15th
"
UNC Wilmington Seahawks",CAA,27-7,3.5,111,4,3.7,-0.2,27.1-7.9,14.0-4.0,<0.1%,6th
"
Akron Zips",MAC,28-6,3.2,112,2,2.7,0.4,28.1-6.9,17.0-1.0,>99.9%,7th
"
Bryant Bulldogs",Am. East,23-11,1.2,131,10,-0.2,1.4,23.1-11.9,14.0-2.0,>99.9%,9th
"
Wofford Terriers",SoCon,19-15,0.9,139,2,2.8,-1.9,19.0-16.0,10.0-8.0,<0.1%,3rd
"
Robert Morris Colonials",Horizon,26-8,-0.9,168,4,-1.4,0.5,26.0-9.0,15.0-5.0,>99.9%,4th
"
Norfolk State Spartans",MEAC,24-10,-1.1,171,7,-0.1,-0.9,24.0-11.0,11.0-3.0,>99.9%,2nd
"
Montana Grizzlies",Big Sky,25-9,-1.2,173,21,1.2,-2.3,25.1-9.9,15.0-3.0,>99.9%,16th
"
Omaha Mavericks",Summit,22-12,-2.8,211,--,0.2,-3.0,22.0-13.0,13.0-3.0,>99.9%,10th
"
American University Eagles",Patriot,22-12,-3.9,227,7,-2.8,-1.1,22.5-12.5,13.0-5.0,>99.9%,112th
"
Mount St. Mary's Mountaineers",MAAC,22-12,-4.6,239,17,-4.8,0.2,22.5-12.5,12.0-8.0,<0.1%,110th
"
SIU Edwardsville Cougars",OVC,22-11,-4.6,240,1,-4.7,0.1,22.0-12.0,13.0-7.0,<0.1%,1st
"
Alabama State Hornets",SWAC,19-15,-6.6,275,10,-4.6,-2.0,19.6-15.4,12.0-6.0,<0.1%,120th
"
St. Francis (PA) Red Flash",NEC,16-17,-8.7,307,3,-5.0,-3.7,16.4-17.6,8.0-8.0,<0.1%,118th
